user,timestamp,source_ip,country,device,success,mfa_used,alert,reason,severity
ahmed@corp.com,2026-05-28 02:01:30,45.33.32.156,Russia,Linux,False,True,True,Suspicious country | Suspicious IP | Failed login | Brute Force Attempt,High
ahmed@corp.com,2026-05-28 03:28:30,185.220.101.5,Egypt,Unknown,True,True,True,Suspicious IP,High
ahmed@corp.com,2026-05-28 03:58:30,45.33.32.156,Egypt,MacOS,True,False,True,Suspicious IP | No MFA,High
ahmed@corp.com,2026-05-29 01:53:30,10.0.0.5,Russia,Windows 11,False,False,True,Suspicious country | Failed login | No MFA | Brute Force Attempt,High
ahmed@corp.com,2026-05-29 17:20:30,10.0.0.5,China,Linux,True,True,True,Suspicious country,High
ahmed@corp.com,2026-05-29 17:30:30,185.220.101.5,China,MacOS,True,False,True,Suspicious country | Suspicious IP | No MFA,High
ahmed@corp.com,2026-05-30 00:59:30,185.220.101.5,Russia,MacOS,True,True,True,Suspicious country | Suspicious IP,High
ahmed@corp.com,2026-05-30 07:26:30,197.32.10.1,Egypt,Unknown,False,False,True,Failed login | No MFA | Brute Force Attempt,High
ahmed@corp.com,2026-05-31 10:59:30,185.220.101.5,Russia,Windows 11,True,False,True,Suspicious country | Suspicious IP | No MFA,High
ahmed@corp.com,2026-05-31 13:59:30,197.32.10.2,Egypt,Windows 11,False,True,True,Failed login | Brute Force Attempt,High
ahmed@corp.com,2026-05-31 14:20:30,45.33.32.156,Egypt,Linux,True,True,True,Suspicious IP,High
ahmed@corp.com,2026-06-01 04:18:30,197.32.10.1,Egypt,Windows 11,True,False,True,No MFA,Low
ahmed@corp.com,2026-06-01 04:51:30,197.32.10.1,Egypt,Unknown,False,False,True,Failed login | No MFA | Brute Force Attempt,High
ahmed@corp.com,2026-06-01 05:00:30,10.0.0.5,China,Unknown,True,True,True,Suspicious country | Impossible Travel,High
ahmed@corp.com,2026-06-01 07:01:30,10.0.0.5,China,MacOS,True,True,True,Suspicious country,High
john@corp.com,2026-05-25 22:04:30,10.0.0.5,USA,Unknown,False,False,True,Failed login | No MFA | Brute Force Attempt,High
john@corp.com,2026-05-25 23:29:30,197.32.10.1,Russia,Linux,True,True,True,Suspicious country,High
john@corp.com,2026-05-26 10:40:30,185.220.101.5,China,MacOS,True,False,True,Suspicious country | Suspicious IP | No MFA,High
john@corp.com,2026-05-27 05:40:30,45.33.32.156,Egypt,MacOS,False,True,True,Suspicious IP | Failed login | Brute Force Attempt,High
john@corp.com,2026-05-27 12:41:30,185.220.101.5,Egypt,Windows 11,False,True,True,Suspicious IP | Failed login | Brute Force Attempt,High
john@corp.com,2026-05-27 19:15:30,45.33.32.156,Egypt,Linux,True,False,True,Suspicious IP | No MFA,High
john@corp.com,2026-05-27 23:03:30,185.220.101.5,Russia,Windows 11,True,False,True,Suspicious country | Suspicious IP | No MFA,High
john@corp.com,2026-05-28 04:13:30,185.220.101.5,Russia,Windows 11,True,True,True,Suspicious country | Suspicious IP,High
john@corp.com,2026-05-28 12:56:30,10.0.0.5,Egypt,Windows 11,False,True,True,Failed login | Brute Force Attempt,High
john@corp.com,2026-05-28 18:01:30,10.0.0.5,Egypt,Windows 11,True,False,True,No MFA,Low
john@corp.com,2026-05-29 09:24:30,45.33.32.156,Egypt,MacOS,True,False,True,Suspicious IP | No MFA,High
john@corp.com,2026-05-29 20:32:30,197.32.10.1,Egypt,Unknown,False,False,True,Failed login | No MFA | Brute Force Attempt,High
john@corp.com,2026-05-30 00:17:30,45.33.32.156,Egypt,Unknown,False,False,True,Suspicious IP | Failed login | No MFA | Brute Force Attempt,High
john@corp.com,2026-05-30 03:39:30,185.220.101.5,Egypt,Unknown,True,False,True,Suspicious IP | No MFA,High
john@corp.com,2026-05-30 16:02:30,197.32.10.2,Russia,Linux,False,True,True,Suspicious country | Failed login | Brute Force Attempt,High
john@corp.com,2026-05-30 22:25:30,10.0.0.5,Russia,Unknown,True,True,True,Suspicious country,High
john@corp.com,2026-05-31 06:16:30,197.32.10.1,Egypt,MacOS,True,False,True,No MFA,Low
john@corp.com,2026-05-31 17:26:30,10.0.0.5,China,Windows 11,True,True,True,Suspicious country,High
john@corp.com,2026-05-31 20:24:30,45.33.32.156,China,Linux,False,False,True,Suspicious country | Suspicious IP | Failed login | No MFA | Brute Force Attempt,High
sara@corp.com,2026-05-25 12:23:30,197.32.10.1,Egypt,Linux,False,False,True,Failed login | No MFA | Brute Force Attempt,High
sara@corp.com,2026-05-25 17:06:30,185.220.101.5,USA,Windows 11,True,False,True,Suspicious IP | No MFA,High
sara@corp.com,2026-05-25 23:16:30,45.33.32.156,China,Linux,True,True,True,Suspicious country | Suspicious IP,High
sara@corp.com,2026-05-26 18:16:30,197.32.10.2,Russia,Windows 11,True,False,True,Suspicious country | No MFA,High
sara@corp.com,2026-05-27 04:05:30,10.0.0.5,China,MacOS,True,False,True,Suspicious country | No MFA,High
sara@corp.com,2026-05-27 08:12:30,197.32.10.2,Egypt,Unknown,True,False,True,No MFA,Low
sara@corp.com,2026-05-27 09:26:30,185.220.101.5,China,MacOS,False,True,True,Suspicious country | Suspicious IP | Failed login | Brute Force Attempt,High
sara@corp.com,2026-05-27 21:38:30,197.32.10.2,Egypt,Linux,True,False,True,No MFA,Low
sara@corp.com,2026-05-28 05:44:30,197.32.10.2,Egypt,Linux,False,False,True,Failed login | No MFA | Brute Force Attempt,High
sara@corp.com,2026-05-28 12:42:30,45.33.32.156,Egypt,MacOS,False,False,True,Suspicious IP | Failed login | No MFA | Brute Force Attempt,High
sara@corp.com,2026-05-28 16:55:30,197.32.10.2,China,Unknown,True,False,True,Suspicious country | No MFA,High
sara@corp.com,2026-05-28 22:42:30,10.0.0.5,China,MacOS,True,False,True,Suspicious country | No MFA,High
sara@corp.com,2026-05-29 01:24:30,45.33.32.156,Egypt,Windows 11,False,True,True,Suspicious IP | Failed login | Brute Force Attempt,High
sara@corp.com,2026-05-29 10:34:30,197.32.10.1,Egypt,Unknown,True,False,True,No MFA,Low
sara@corp.com,2026-05-29 11:32:30,197.32.10.2,USA,Windows 11,True,True,True, | Impossible Travel,High
sara@corp.com,2026-05-30 04:09:30,197.32.10.2,Egypt,Linux,True,False,True,No MFA,Low
sara@corp.com,2026-05-30 18:18:30,185.220.101.5,Russia,MacOS,True,True,True,Suspicious country | Suspicious IP,High
sara@corp.com,2026-05-30 19:10:30,185.220.101.5,China,Linux,True,True,True,Suspicious country | Suspicious IP | Impossible Travel,High
sara@corp.com,2026-05-30 23:42:30,197.32.10.1,Egypt,MacOS,False,True,True,Failed login | Brute Force Attempt,High
sara@corp.com,2026-05-31 08:28:30,197.32.10.2,Egypt,Unknown,True,False,True,No MFA,Low
sara@corp.com,2026-05-31 08:48:30,185.220.101.5,Egypt,Linux,True,False,True,Suspicious IP | No MFA,High
