user,timestamp,source_ip,country,device,success,mfa_used
ahmed@corp.com,2026-05-30 01:16:02,197.32.10.1,Egypt,Windows 11,True,True
admin@corp.com,2026-05-27 18:52:02,197.32.10.2,USA,Unknown,True,False
admin@corp.com,2026-05-31 13:04:02,185.220.101.5,Egypt,MacOS,True,False
sara@corp.com,2026-05-26 10:29:02,185.220.101.5,Russia,MacOS,True,False
ahmed@corp.com,2026-05-25 11:35:02,10.0.0.5,Egypt,Unknown,True,True
admin@corp.com,2026-05-28 20:01:02,185.220.101.5,Egypt,MacOS,False,True
sara@corp.com,2026-05-31 20:49:02,185.220.101.5,USA,MacOS,True,True
admin@corp.com,2026-05-31 05:34:02,45.33.32.156,Egypt,MacOS,True,True
mirna@corp.com,2026-05-30 07:28:02,185.220.101.5,Egypt,Linux,True,True
mirna@corp.com,2026-05-31 06:17:02,10.0.0.5,Egypt,Linux,True,False
ahmed@corp.com,2026-05-27 12:13:02,45.33.32.156,China,Unknown,False,False
ahmed@corp.com,2026-05-31 17:35:02,197.32.10.2,Russia,MacOS,True,False
sara@corp.com,2026-05-25 11:12:02,45.33.32.156,Russia,Windows 11,True,True
mirna@corp.com,2026-05-28 18:18:02,185.220.101.5,Egypt,Windows 11,True,True
ahmed@corp.com,2026-05-27 09:42:02,185.220.101.5,USA,Windows 11,True,False
admin@corp.com,2026-05-30 12:40:02,185.220.101.5,Russia,Unknown,True,False
mirna@corp.com,2026-05-26 03:05:02,45.33.32.156,Egypt,MacOS,True,False
ahmed@corp.com,2026-05-31 04:54:02,197.32.10.2,Egypt,MacOS,True,True
sara@corp.com,2026-05-25 12:23:02,197.32.10.1,Egypt,Linux,True,False
admin@corp.com,2026-05-26 11:43:02,10.0.0.5,China,Linux,True,False
sara@corp.com,2026-05-30 20:19:02,197.32.10.2,USA,Unknown,False,False
admin@corp.com,2026-05-30 05:00:02,45.33.32.156,Egypt,Linux,False,False
ahmed@corp.com,2026-06-01 01:22:02,185.220.101.5,USA,MacOS,False,True
admin@corp.com,2026-05-31 17:21:02,45.33.32.156,Egypt,Windows 11,False,False
mirna@corp.com,2026-05-25 22:03:02,197.32.10.1,Egypt,Windows 11,True,True
mirna@corp.com,2026-05-26 09:33:02,10.0.0.5,Egypt,MacOS,True,True
ahmed@corp.com,2026-05-27 22:22:02,197.32.10.2,Egypt,MacOS,True,True
admin@corp.com,2026-05-28 15:07:02,197.32.10.2,Russia,Unknown,True,False
sara@corp.com,2026-05-25 10:31:02,45.33.32.156,Egypt,MacOS,True,False
mirna@corp.com,2026-05-30 08:34:02,10.0.0.5,China,Unknown,True,True
ahmed@corp.com,2026-06-01 00:22:02,10.0.0.5,China,Windows 11,False,True
admin@corp.com,2026-06-01 02:49:02,185.220.101.5,Egypt,MacOS,False,True
sara@corp.com,2026-05-29 11:34:02,10.0.0.5,Egypt,MacOS,True,True
admin@corp.com,2026-05-26 07:35:02,197.32.10.2,Egypt,Windows 11,True,False
mirna@corp.com,2026-05-31 21:11:02,197.32.10.2,Egypt,Linux,True,True
admin@corp.com,2026-05-28 13:11:02,197.32.10.2,Egypt,Linux,False,True
admin@corp.com,2026-05-27 05:23:02,10.0.0.5,China,Linux,True,False
mirna@corp.com,2026-05-29 22:52:02,197.32.10.2,USA,Unknown,True,False
ahmed@corp.com,2026-05-31 19:21:02,185.220.101.5,China,Linux,False,False
ahmed@corp.com,2026-05-27 10:29:02,45.33.32.156,China,Unknown,True,True
sara@corp.com,2026-05-29 16:10:02,10.0.0.5,USA,Windows 11,False,True
ahmed@corp.com,2026-05-28 22:04:02,197.32.10.1,Russia,MacOS,True,True
mirna@corp.com,2026-05-29 06:43:02,197.32.10.2,Russia,MacOS,True,True
mirna@corp.com,2026-05-28 05:16:02,197.32.10.2,Russia,Windows 11,False,True
ahmed@corp.com,2026-05-28 12:07:02,197.32.10.1,USA,Linux,True,False
admin@corp.com,2026-05-28 20:02:02,45.33.32.156,China,MacOS,True,False
sara@corp.com,2026-05-31 04:18:02,197.32.10.2,Egypt,Windows 11,True,True
mirna@corp.com,2026-05-27 00:14:02,10.0.0.5,Russia,MacOS,True,True
sara@corp.com,2026-05-25 11:13:02,197.32.10.1,Russia,Unknown,True,True
mirna@corp.com,2026-05-27 01:35:02,197.32.10.2,Russia,Linux,True,False
ahmed@corp.com,2026-05-26 06:55:02,197.32.10.2,Egypt,Linux,True,False
admin@corp.com,2026-05-29 00:36:02,45.33.32.156,Egypt,Linux,True,True
ahmed@corp.com,2026-05-26 03:10:02,45.33.32.156,Egypt,Windows 11,True,True
admin@corp.com,2026-05-28 23:20:02,197.32.10.2,Egypt,Windows 11,False,False
sara@corp.com,2026-05-27 10:17:02,10.0.0.5,Egypt,Unknown,True,False
sara@corp.com,2026-05-29 23:24:02,45.33.32.156,USA,MacOS,True,False
sara@corp.com,2026-05-31 13:07:02,197.32.10.1,Egypt,Unknown,True,False
mirna@corp.com,2026-05-31 21:45:02,185.220.101.5,China,Linux,False,False
admin@corp.com,2026-05-30 14:01:02,197.32.10.1,USA,Unknown,True,False
mirna@corp.com,2026-05-25 17:46:02,197.32.10.2,Russia,Linux,True,False
ahmed@corp.com,2026-05-28 11:52:02,185.220.101.5,USA,MacOS,True,False
mirna@corp.com,2026-05-28 02:59:02,197.32.10.2,USA,Windows 11,True,False
admin@corp.com,2026-05-30 20:17:02,185.220.101.5,China,Windows 11,False,True
ahmed@corp.com,2026-05-27 14:41:02,10.0.0.5,Egypt,Unknown,True,True
admin@corp.com,2026-05-29 16:59:02,45.33.32.156,Egypt,Windows 11,False,True
